trial,csv_line,D_file,W_file,ID_fitts_bits,ID_shannon_bits,x_home_m,x_target_m,tolerance_m,x_start_m,D_effective_m,outcome,success,rt_kinematic_s,mt_first_entry_s,mt_final_entry_s,mt_first_entry_kin_s,mt_final_entry_kin_s,task_time_s,n_entries,peak_speed_x_mps,t_peak_speed_x_s,overshoot_m,endpoint_error_m,y_max_dev_m,sat_fraction,dt_mean_ms,dt_max_ms,samples,wall_clock,note
69,70,20.250000,1.000000,5.339850,4.409391,0.400000,0.197500,0.005000,0.400443,0.202943,success,1,0.005989,0.390035,0.390035,0.384046,0.384046,1.390092,1,0.861506,0.254029,0.000817,0.000416,0.003185,0.2201,2.000,2.038,695,2026-09-11T18:52:15.784,
70,71,30.375000,1.000000,5.924813,4.971544,0.400000,0.096250,0.005000,0.400564,0.304314,success,1,0.007992,0.468041,0.612049,0.460049,0.604057,1.612137,2,1.047086,0.362035,0.007479,0.003528,0.003185,0.2903,2.000,2.021,806,2026-09-11T18:52:19.822,
71,72,12.000000,1.333333,4.169925,3.321928,0.400000,0.280000,0.006667,0.400436,0.120436,success,1,0.005990,0.298006,0.298006,0.292016,0.292016,1.298082,1,0.643346,0.180000,0.000000,-0.000105,0.003174,0.1279,2.000,2.021,649,2026-09-11T18:52:25.112,
72,73,18.000000,2.000000,4.169925,3.321928,0.400000,0.220000,0.010000,0.400220,0.180220,success,1,0.005990,0.350017,0.350017,0.344027,0.344027,1.350081,1,0.805800,0.234003,0.000206,0.000020,0.003177,0.1896,2.000,2.011,675,2026-09-11T18:52:28.218,
73,74,8.000000,1.333333,3.584963,2.807355,0.400000,0.320000,0.006667,0.400409,0.080409,success,1,0.005990,0.240003,0.240003,0.234013,0.234013,1.240099,1,0.490152,0.141998,0.000201,0.000175,0.003177,0.0903,2.000,2.027,620,2026-09-11T18:52:31.975,
74,75,12.000000,2.000000,3.584963,2.807355,0.400000,0.280000,0.010000,0.400451,0.120451,success,1,0.005990,0.280005,0.280005,0.274015,0.274015,1.280074,1,0.646669,0.180000,0.000000,-0.000090,0.003177,0.1281,2.000,2.029,640,2026-09-11T18:52:34.603,
75,76,27.000000,0.888889,5.924812,4.971543,0.400000,0.130000,0.004444,0.400659,0.270659,success,1,0.007993,0.444022,0.544030,0.436029,0.536037,1.544099,2,0.996865,0.328015,0.004972,0.003504,0.003174,0.2720,2.000,2.027,772,2026-09-11T18:52:37.705,
76,77,18.000000,1.333333,4.754888,3.857981,0.400000,0.220000,0.006667,0.400720,0.180720,success,1,0.007993,0.362032,0.362032,0.354039,0.354039,1.362088,1,0.811334,0.238025,0.000512,0.000202,0.003166,0.2012,2.000,2.031,681,2026-09-11T18:52:42.581,
77,78,8.000000,0.888889,4.169925,3.321928,0.400000,0.320000,0.004444,0.400277,0.080277,success,1,0.007993,0.254004,0.254004,0.246011,0.246011,1.254070,1,0.495384,0.145998,0.000125,0.000087,0.003166,0.0909,2.000,2.007,627,2026-09-11T18:52:46.368,
78,79,18.000000,1.333333,4.754888,3.857981,0.400000,0.220000,0.006667,0.400527,0.180527,success,1,0.007990,0.362010,0.362010,0.354020,0.354020,1.362129,1,0.808344,0.236003,0.000312,-0.000033,0.003170,0.1997,2.000,2.022,681,2026-09-11T18:52:49.044,
79,80,27.000000,2.000000,4.754888,3.857981,0.400000,0.130000,0.010000,0.400220,0.270220,success,1,0.005989,0.430023,0.430023,0.424034,0.424034,1.430079,1,0.992419,0.318017,0.003613,0.002735,0.003170,0.2895,2.000,2.013,715,2026-09-11T18:52:52.816,
80,81,15.000000,2.500000,3.584963,2.807355,0.400000,0.250000,0.012500,0.400209,0.150209,success,1,0.005990,0.308014,0.308014,0.302024,0.302024,1.308094,1,0.739446,0.212002,0.000000,-0.000120,0.003170,0.1590,2.000,2.027,654,2026-09-11T18:52:57.581,
81,82,27.000000,1.333333,5.339850,4.409391,0.400000,0.130000,0.006667,0.400205,0.270205,success,1,0.005990,0.438016,0.438016,0.432026,0.432026,1.438070,1,0.991478,0.326009,0.003401,0.002277,0.003170,0.2865,2.000,2.023,719,2026-09-11T18:53:00.997,
82,83,12.000000,0.888889,4.754887,3.857981,0.400000,0.280000,0.004444,0.400481,0.120481,success,1,0.007995,0.310299,0.310299,0.302304,0.302304,1.310360,1,0.647390,0.182219,0.000000,-0.000896,0.003162,0.1242,2.010,4.240,652,2026-09-11T18:53:05.775,
83,84,27.000000,2.000000,4.754888,3.857981,0.400000,0.130000,0.010000,0.400216,0.270216,success,1,0.007998,0.428079,0.428079,0.420081,0.420081,1.428158,1,0.995950,0.328074,0.005241,0.003557,0.003162,0.2927,2.000,2.020,714,2026-09-11T18:53:08.894,
84,85,12.000000,2.000000,3.584963,2.807355,0.400000,0.280000,0.010000,0.400356,0.120356,success,1,0.005991,0.280014,0.280014,0.274023,0.274023,1.280068,1,0.643570,0.180008,0.000024,-0.000014,0.003162,0.1297,2.000,2.016,640,2026-09-11T18:53:13.664,
85,86,20.250000,1.000000,5.339850,4.409391,0.400000,0.197500,0.005000,0.400561,0.203061,success,1,0.005990,0.390091,0.390091,0.384101,0.384101,1.390146,1,0.864914,0.256071,0.000878,0.000431,0.003158,0.2201,2.000,2.049,695,2026-09-11T18:53:16.751,
86,87,15.187500,0.500000,5.924813,4.971544,0.400000,0.248125,0.002500,0.400193,0.152068,success,1,0.005991,0.366011,0.366011,0.360020,0.360020,1.366072,1,0.744943,0.212002,0.000091,0.000072,0.003158,0.1552,2.000,2.017,683,2026-09-11T18:53:20.777,
87,88,20.250000,1.000000,5.339850,4.409391,0.400000,0.197500,0.005000,0.400432,0.202932,success,1,0.007996,0.390021,0.390021,0.382025,0.382025,1.390092,1,0.864263,0.260014,0.000878,0.000515,0.003158,0.2288,2.000,2.027,695,2026-09-11T18:53:24.275,
88,89,15.187500,0.500000,5.924813,4.971544,0.400000,0.248125,0.002500,0.400496,0.152371,success,1,0.007992,0.362036,0.362036,0.354044,0.354044,1.362099,1,0.752037,0.218020,0.000446,0.000212,0.003155,0.1659,2.000,2.034,681,2026-09-11T18:53:28.294,
89,90,8.000000,1.333333,3.584963,2.807355,0.400000,0.320000,0.006667,0.400757,0.080757,success,1,0.007994,0.242004,0.242004,0.234010,0.234010,1.242086,1,0.499880,0.145999,0.000000,-0.000117,0.003151,0.0902,2.000,2.027,621,2026-09-11T18:53:31.768,
